"","x"
"1",9.00528734384001
"2",9.70208884035425
"3",9.61167397506455
"4",9.63844923443521
"5",8.78102483344207
"6",8.78768676266764
"7",9.09733333124718
"8",9.17448483363165
"9",9.54816876162888
"10",8.67716620178748
"11",8.74993751195616
"12",9.19371228715122
"13",8.8870496617335
"14",8.79902774028225
"15",9.56316491543675
"16",9.52700455114717
"17",8.98687385929113
"18",8.77930041251602
"19",9.84092285072443
"20",9.47268693128486
"21",9.6942859092197
"22",8.83955391739821
"23",9.35042481164248
"24",8.95314515496211
"25",8.92564868410041
"26",9.03915838207087
"27",9.17648986621167
"28",9.24575632140449
"29",9.2814226179889
"30",9.72054791484988
"31",8.94486857209469
"32",9.91505154821566
