"","x"
"104",5593.92947284778
"105",4002.84370544797
"106",3836.9142450214
"107",3228.09213186907
"108",4661.12044847328
"109",4473.21137839648
"110",5285.30044199442
"111",3629.87038138089
"112",4278.98439312158
"113",4021.31309436017
"114",3998.33388767731
"115",5107.57634086053
"116",5047.02588593521
"117",5621.09046361403
"118",5451.8052978229
"119",5207.45413118058
"120",5635.15724074263
"121",3914.33275908132
"122",6411.99359149534
"123",5356.99796707018
"124",4696.97872536427
"125",4540.02503013106
"126",4817.61445076037
"127",4230.14225746068
"128",4969.73416596044
"129",8393.14122123746
"130",5401.54398795693
"131",3705.99455070267
"132",9340.65498036786
"133",4108.01268546811
"134",6923.71007209178
"135",5139.15732691713
"136",7341.40349148169
"137",6219.86685825509
"138",5044.48575101827
"139",5897.25376532759
"140",7652.21344271034
"141",4177.92929472087
"142",4629.58621463698
"143",6151.10727589966
"144",5426.66701624435
"145",4982.83778612337
"146",4444.73032465408
"147",5788.80118968814
"148",5167.57477642416
"149",7171.17600009776
"150",5187.20033276608
"151",6947.34696427902
"152",6667.59969795295
"153",5042.63946511668
"154",4081.25384185152
"155",3689.97047517481
"156",3513.84978656723
"157",5155.62698521339
"158",4774.9512654767
"159",5362.46294460503
"160",5126.51895779146
"161",4893.08053169726
"162",8782.21701123404
"163",4336.39530045481
"164",3764.08745805172
"165",4453.80648798031
"166",5539.23256105118
"167",4510.1744262828
"168",4451.46670164021
"169",5011.05674375197
"170",3954.49043355279
"171",4874.2424029187
"172",7697.68632120812
"173",6537.25758060874
"174",6363.77606200303
"175",5528.10916202308
"176",3943.86676562031
"177",6452.31831859031
"178",8059.11203055672
"179",7292.62277593124
"180",4928.52384051975
"181",4091.35925020033
"182",4694.12136949314
"183",7578.4035354043
"184",3874.59319795883
"185",5115.72105948108
"186",7503.99275768888
"187",6543.99174418188
"188",5275.98677024567
"189",3248.01529907761
"190",4100.76631445558
"191",5372.53491085354
"192",6360.38143799261
"193",5778.23893504805
"194",5489.80356637305
"195",4232.92977167987
"196",6523.91556650177
"197",9011.79653403529
"198",6005.66663304968
"199",5852.982943337
"200",4024.8149939878
"201",4036.73143622008
"202",7865.31312662611
"203",6327.40100173068
"204",4757.99839026321
"205",4652.1474549492
"206",5499.98530434482
"207",10055.6777713673
"208",3985.46051188114
"209",3994.47470507394
"210",6686.92536120741
"211",3957.48915683662
"212",5480.87779220696
"213",6592.9131597613
"214",4883.9356015239
"215",4959.81156390604
"216",3997.31396773124
"217",6249.14019797696
"218",5013.29901063271
"219",4787.00124809205
"220",7487.01370721133
"221",7907.44004210819
"222",2468.76800603575
"223",3618.19416377128
"224",4353.45394361741
